kind,trial_index,start_idx,end_idx,area,0,1,2
go,1,149,385,3.920188640458046,0.007631634,0.793208466,0.1991599
go,2,471,566,1.665875607235066,0.053232197,0.800589735,0.146178069
go,3,632,749,1.8439246513086054,0.046301948,0.794837692,0.15886036
go,4,811,993,2.3340905029223573,0.051661978,0.781026858,0.167311164
go,5,1022,1186,2.404179167258783,0.057576493,0.746630593,0.195792914
go,6,1558,1681,2.6518695163688504,0.090641688,0.678922812,0.2304355
go,7,1777,1933,1.244141851475001,0.051107401,0.470609819,0.47828278
win,1,1950,2339,11.345184340323188,0.636787212,0.346528698,0.01668409
win,2,2469,2878,9.717631109741564,0.63023195,0.355507224,0.014260827
go,8,2948,3039,1.104764400033954,0.082612188,0.4354714,0.481916412
go,9,3136,3276,1.4722134446194914,0.084626973,0.324606421,0.590766606
win,3,3341,3688,11.036936048855539,0.772448247,0.222397852,0.005153901
go,10,3902,4106,2.767128791758471,0.033052032,0.209264915,0.757683053
win,4,4267,4685,12.653675736954426,0.814676045,0.170501388,0.014822567
win,5,4782,5350,13.616139173640246,0.745209928,0.20720097,0.047589102
win,6,5358,5678,6.776776134785291,0.725083728,0.230801035,0.044115237
win,7,5759,5973,5.694422216427001,0.697984753,0.259042086,0.042973161
win,8,6033,6317,7.877561979379392,0.678786397,0.306187622,0.015025981
go,11,6499,6623,1.5820676935953997,0.086552883,0.407159232,0.506287885
go,12,6698,6871,1.9401850422765419,0.087975376,0.311161351,0.600863273
win,9,6947,7363,13.94708729845418,0.781029047,0.213809715,0.005161239
go,13,7380,7498,1.2961460943496235,0.033249797,0.201349815,0.765400388
win,10,7574,7940,12.002963290328552,0.823760757,0.161227552,0.015011691
win,11,7941,8376,10.49099845427864,0.760398796,0.188484939,0.051116265
win,12,8441,8736,10.320331760900922,0.795547151,0.191443921,0.013008928
go,14,8800,8902,1.7809007489789694,0.034561963,0.191182779,0.774255258
win,13,8938,9187,9.8451583725346,0.828959036,0.156095924,0.01494504
win,14,9187,9522,11.7704996627335,0.7617262,0.187101177,0.051172624
win,15,9530,9875,7.540455481943402,0.793964276,0.193036602,0.012999122
go,15,9914,10097,3.6011018053105657,0.034031512,0.196487083,0.769481405
win,16,10202,10510,9.574650101584176,0.823632188,0.166399434,0.009968377
